cpu_util,mem_usage,sys_load,age,priority
37.454011884736246,231932,1.834347898661638,7,1
59.86584841970366,1203462,4.458327528535912,10,2
45.92488919658672,1012756,6.011150117432088,2,3
2.0584494295802447,887201,7.219987722668248,5,2
0.07787658410143283,203355,1.8340450985343382,11,2
61.16531604882809,1089436,4.319450186421157,16,3
52.477466025838915,1533257,0.46665663213615427,15,3
23.277134043030422,1278557,7.851759613930136,18,4
38.24619912671628,1477523,5.924145688620425,2,3
85.99404067363206,665894,1.7052412368729153,6,2
1.3264961159866528,1419512,9.656320330745594,17,4
38.54165025399161,1565689,0.9767211400638387,19,3
24.102546602601173,778843,1.2203823484477883,7,1
3.4388521115218396,704365,3.910606075732408,17,2
66.2522284353982,905889,4.2515587449124475,9,1
56.77003278199915,371836,9.695846277645586,11,3
93.9498941564189,1371741,9.266588657937941,15,5
32.65407688058354,664685,1.959828624191452,7,1
84.45338486781515,1172876,2.713490317738959,12,4
14.092422497476264,1986222,1.652669390630025,6,2
42.340148070636964,1604384,1.987156815341724,10,2
19.884240408880515,1837095,7.2900716804098735,0,3
60.59599747810114,234633,3.5846572854427263,8,1
91.49596755437808,1943400,6.232981268275579,1,4
9.541011649041131,1013910,3.109823217156622,4,2
72.96061783380641,1605127,2.747217929900642,2,3
47.22149251619493,239182,7.13244787222995,0,2
72.17295211648732,723094,7.70967179954561,6,3
4.043358953843135,1017710,4.275410183585496,9,2
43.93365018657701,353618,0.3142918568673425,6,1
47.53702231821117,1333916,5.085706911647028,4,3
24.929222914887493,1073548,5.398410913016731,3,3
94.2853570557981,1099238,2.8975145291376805,1,3
62.43540481337932,1060061,6.334037565104235,5,3
45.653457048291024,867595,1.8657005888603584,10,1
32.434502100527396,175766,8.960912999234932,6,2
90.6828441545754,785440,2.279351625419417,19,3
35.2568856334169,502690,0.06952130531190703,7,1
53.4089419375442,1938756,6.924360328902703,9,3
33.7615171403628,265838,1.6829104217293056,8,1
40.383617105804085,1986013,9.717820827209607,19,4
24.68760628386012,165318,4.972485058923855,16,2
14.808692995339989,881239,0.36886947354532795,16,2
97.66149558326529,1785723,0.5147875124998935,4,3
34.5071248026683,417824,2.395618906669724,1,1
53.09345833171364,225657,9.856504541106007,3,2
8.085332633271525,209751,2.3763754399239967,5,1
36.77831327192532,206081,6.335297107608947,10,2
81.6431873219384,122671,8.35302495589238,5,3
69.58128067908818,411955,3.2595890520188475,3,1
1.6587828927856152,1707618,8.095010461397154,19,4
64.51727904094498,314835,9.40523264489604,7,2
38.67353463005374,987121,8.37710105907328,10,2
34.10663510502585,925816,2.090716207377137,9,1
25.79416277151556,1457563,1.7495492709593619,15,3
55.52008115994623,1619163,2.60829174830409,0,2
9.310276780589922,1144107,5.582934536070976,8,3
27.887135259218187,798002,7.259556788702394,2,2
85.63242918780925,1007317,7.798755458576238,19,5
8.413996499504883,132711,7.853406511139436,7,2
60.642905965958995,1852290,3.722827665617431,2,2
97.36638367553174,1086001,1.6080805141749865,17,4
48.56137535862266,881474,6.519612595026006,8,2
17.592525267734537,138467,2.3724908749680007,15,2
74.64914051180241,1039903,7.441705230565622,2,4
65.76128923003434,1979072,5.425402305548993,18,4
63.63326181858954,1548685,5.898708475605439,5,3
39.30977246667604,1547687,6.311386259972629,1,3
35.00784076946757,460032,5.769038846263591,0,2
19.52429877980445,1320412,4.991933798847523,3,2
2.431596643145384,730271,1.7711067940704894,13,2
91.48643902204485,278274,7.4771877389741395,4,3
92.83185625877253,231373,9.666548190436696,2,3
98.03315837160457,748307,2.944488920695857,0,2
31.692200515627768,354079,3.726868670940493,9,1
93.6154774160781,1083609,9.300168348108318,13,5
9.717649377076853,1221567,6.711435168240506,1,3
25.416364906973875,1683593,8.773730719279554,16,4
84.86697949246744,1778728,7.024840839871093,15,5
55.281997690790774,630089,8.093611554785136,2,2
25.620694359445807,897079,9.132405525564714,6,2
50.15162946871996,1930931,6.4996393077776515,13,4
79.57926694361011,1632875,8.866171489506598,14,5
37.5582952639944,1096161,4.38474123018087,18,3
46.55980181324602,805086,9.818408883105311,16,3
3.7348188749214417,1538533,3.0326551467322282,10,2
12.706051265188478,1262208,8.278690037875887,11,4
96.52518303907698,1104646,0.85347464993768,12,4
19.438003399487304,1049597,5.406351216101065,7,3
72.60913337226616,1243052,9.69536867114159,9,4
32.2956472941246,1235248,3.9882090144479454,18,3
43.89714207056361,1523286,2.508605273466612,8,2
68.84999007653664,478496,1.7329432007084578,0,1
44.235222973110446,277247,5.4922666470612045,15,3
18.286599710730734,287628,2.7993389694594284,15,2
51.66962574265666,1702239,5.543540525114007,2,3
24.773098950115745,167215,1.5864644764249103,13,2
9.179906581344188,1848014,0.40728802318970136,13,3
97.95105286215086,260196,4.741738290873252,15,3
80.69129770507794,584963,1.7320186991001518,4,2
39.85047343973734,647337,9.491457315913859,3,2
4.530400977204452,533374,0.1530454029038475,18,2
50.31362585800877,291232,5.393774484000625,12,3
16.29344270814297,1200567,9.438916045607572,1,3
2.6511310541621813,1501727,6.364035974460113,19,4
57.5474177875879,636226,6.432882184423532,0,2
81.1204176736003,1504330,9.41464808776525,2,4
82.0426843771268,604999,9.053506419560637,11,4
27.396112732113377,1103531,1.0077800137742665,1,2
3.896313231023363,485777,6.830067734163569,16,3
65.57226353807421,712956,8.448753109694545,1,2
26.06945282359031,1955366,1.1816482762165625,17,3
62.8942846779884,231484,0.39186326675646255,3,1
17.743954377972283,643176,5.685202837499583,2,2
99.05051420006733,185999,1.276897294224656,16,3
77.64129607419969,1892662,9.307573256035647,4,4
23.85968597903402,775510,7.508710677914974,2,2
10.31238688359326,998320,5.343274735305634,19,3
82.64574661077417,1068021,2.9763517450931087,18,4
38.92016787341631,509995,9.585414968831984,18,3
9.128667678613356,1207739,9.50061967050805,19,4
57.34378881232861,105486,0.8328441119525964,4,1
29.321077169806454,320184,5.537030523458007,3,2
94.61945428816902,297775,7.896181427945539,12,4
93.09291056872925,645977,0.5755876001664428,4,2
73.70355567910089,174460,3.5091501255207866,17,3
96.86519439741349,279208,7.615106317174723,11,4
86.68687053108414,537477,0.8410680611499743,12,3
22.257641757103052,818216,8.218600592903563,1,2
8.134878064189976,1667908,2.332280724245278,7,2
